rank,Patrimonio neto,category,Nombre,age,country,city,Fuente de riqueza,industries,País de ciudadanía ,organization,status,Género,birthDate,title,state,Región de residencia
2,"$18,000,000.00",Automotive,Elon Musk,51,United States,Austin,"Tesla, SpaceX",Automotive,United States,Tesla,D,M,1971-06-28,CEO,Texas,South
3,"$11,400,000.00",Technology,Jeff Bezos,59,United States,Medina,Amazon,Technology,United States,Amazon,D,M,1964-01-12,Chairman and Founder,Washington,West
4,"$10,700,000.00",Technology,Larry Ellison,78,United States,Lanai,Oracle,Technology,United States,Oracle,U,M,1944-08-17,CTO and Founder,Hawaii,West
5,"$10,600,000.00",Finance & Investments,Warren Buffett,92,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,Berkshire Hathaway Inc. (Cl A),D,M,1930-08-30,CEO,Nebraska,Midwest
6,"$10,400,000.00",Technology,Bill Gates,67,United States,Medina,Microsoft,Technology,United States,Bill & Melinda Gates Foundation,D,M,1955-10-28,Cochair,Washington,West
7,"$9,450,000.00",Media & Entertainment,Michael Bloomberg,81,United States,New York,Bloomberg LP,Media & Entertainment,United States,Bloomberg,U,M,1942-02-14,CEO,New York,Northeast
10,"$8,070,000.00",Technology,Steve Ballmer,67,United States,Hunts Point,Microsoft,Technology,United States,Los Angeles Clippers,D,M,1956-03-24,Owner,Washington,West
12,"$7,920,000.00",Technology,Larry Page,50,United States,Palo Alto,Google,Technology,United States,Alphabet,D,M,1973-03-26,Cofounder and board member,California,West
14,"$7,600,000.00",Technology,Sergey Brin,49,United States,Los Altos,Google,Technology,United States,Alphabet,D,M,1973-08-21,Cofounder and board member,California,West
16,"$6,440,000.00",Technology,Mark Zuckerberg,38,United States,Palo Alto,Facebook,Technology,United States,Meta Platforms,D,M,1984-05-14,Cofounder,California,West
17,"$5,900,000.00",Diversified,Charles Koch & family,87,United States,Wichita,Koch Industries,Diversified,United States,"Koch Industries, Inc.",D,M,1935-11-01,Chairman and CEO,Kansas,Midwest
19,"$5,880,000.00",Fashion & Retail,Jim Walton,74,United States,Bentonville,Walmart,Fashion & Retail,United States,"Arvest Bank Group, Inc.",D,M,1948-06-07,Chairman and CEO,Arkansas,South
20,"$5,760,000.00",Fashion & Retail,Rob Walton & family,78,United States,Bentonville,Walmart,Fashion & Retail,United States,Walmart,D,M,1944-10-27,Director,Arkansas,South
21,"$5,670,000.00",Fashion & Retail,Alice Walton,73,United States,Fort Worth,Walmart,Fashion & Retail,United States,Crystal Bridges Museum of American Art,D,F,1949-10-07,Philanthropist,Texas,South
23,"$5,010,000.00",Technology,Michael Dell,58,United States,Austin,Dell Technologies,Technology,United States,Dell Inc.,D,M,1965-02-23,Chairman and CEO,Texas,South
25,"$4,510,000.00",Fashion & Retail,Phil Knight & family,85,United States,Hillsboro,Nike,Fashion & Retail,United States,Nike,D,M,1938-02-24,Chairman,Oregon,West
35,"$3,500,000.00",Finance & Investments,Ken Griffin,54,United States,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,U,M,1968-10-15,Founder & CEO,Florida,South
49,"$2,810,000.00",Finance & Investments,Jim Simons,84,United States,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,D,M,1938-04-25,Founder,New York,Northeast
50,"$2,780,000.00",Finance & Investments,Stephen Schwarzman,76,United States,New York,Investments,Finance & Investments,United States,Blackstone Group,D,M,1947-02-14,Chairman and CEO,New York,Northeast
72,"$2,160,000.00",Finance & Investments,Abigail Johnson,61,United States,Milton,Fidelity,Finance & Investments,United States,Fidelity Investments,U,F,1961-12-19,CEO,Massachusetts,Northeast
76,"$2,110,000.00",Technology,Jensen Huang,60,United States,Los Altos,Semiconductors,Technology,United States,Nvidia,U,M,1963-02-17,CEO & President,California,West
77,"$2,100,000.00",Fashion & Retail,Leonard Lauder,90,United States,New York,Estee Lauder,Fashion & Retail,United States,The Estée Lauder Companies,D,M,1933-03-19,Chairman Emeritus,New York,Northeast
83,"$1,910,000.00",Finance & Investments,Ray Dalio,73,United States,Greenwich,Hedge funds,Finance & Investments,United States,Bridgewater Associates,D,M,1949-08-08,Founder & Co-Chief Investment Officer,Connecticut,Northeast
89,"$1,850,000.00",Energy,Harold Hamm & family,77,United States,Oklahoma City,Oil & gas,Energy,United States,Continental Resources Inc. ,U,M,1945-12-11,Chairman and CEO,Oklahoma,South
89,"$1,850,000.00",Finance & Investments,David Tepper,65,United States,Palm Beach,Hedge funds,Finance & Investments,United States,Appaloosa Management,U,M,1957-09-11,President and Founder,Florida,South
94,"$1,750,000.00",Finance & Investments,Steve Cohen,66,United States,Greenwich,Hedge funds,Finance & Investments,United States,Point72 Asset Management,U,M,1956-06-11,Founder,Connecticut,Northeast
94,"$1,750,000.00",Finance & Investments,Carl Icahn,87,United States,Indian Creek,Investments,Finance & Investments,United States,Icahn Capital Management,U,M,1936-02-16,Founder,Florida,South
97,"$1,740,000.00",Real Estate,Donald Bren,90,United States,Newport Beach,Real estate,Real Estate,United States,Irvine Company,U,M,1932-05-11,Chairman,California,West
97,"$1,740,000.00",Fashion & Retail,"John Menard, Jr.",83,United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,"Menard, Inc.",U,M,1940-01-22,Founder,Wisconsin,Midwest
99,"$1,710,000.00",Media & Entertainment,Rupert Murdoch & family,92,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,News Corp Class A,D,M,1931-03-11,Chairman and CEO,New York,Northeast
113,"$1,550,000.00",Technology,Robert Pera,45,United States,San Jose,Wireless networking,Technology,United States,Ubiquiti,U,M,1978-03-10,Chief Executive Officer,California,West
